==================================================
                new log file
==================================================
config:&{InstanceID:64 Cors:{AllowAllOrigins:false AllowOrigins:[] AllowHeaders:[Authorization AccessKey X-AccessKey UserToken X-Language X-WebAppID X-App X-Action] ExposeHeaders:[] AllowCredentials:true AllowWebSockets:true} Host: Port:6043 LogLevel:info GoPoolSize:50000 RotationInterval:15s TDengine:{Host:localhost Port:6041 Username:root Password:taosdata Usessl:false} Metrics:{Cluster: Prefix:taos Database:{Name:log Options:map[buffer:64 cachemodel:both keep:90 vgroups:1]} Tables:[]} Env:{InCGroup:false} Audit:{Enable:false Database:{Name: Options:map[]}} Log:{Level:info Path:/var/log/taos RotationCount:30 RotationTime:24h0m0s RotationSize:1073741824 KeepDays:30 Compress:false ReservedDiskSize:1073741824} Transfer: FromTime:2020-01-01T00:00:00+08:00 Drop:}
version                                      3.3.6.13
gitinfo                                      1a3a182ba16ee188c0677fb6cd637b34c52f6bd7
buildinfo                                    Linux-x64 2025-06-28 22:48:07 +0800
03/06 14:19:04.625732 00000229 REP WARN  create database sql: create database if not exists log buffer 64  keep 90  cachemodel 'both'  vgroups 1 
03/06 14:19:05.081049 00000229 REP INFO  execute sql:create table if not exists keeper_monitor (ts timestamp, cpu float, mem float, total_reports int ) tags (identify nchar(50))
03/06 14:19:05.239108 00000229 GEN INFO  gColumnSeqMap:map[taos_slow_sql_detail:{[db user ip cluster_id] [request_id query_time code error_info type rows_num sql process_name process_id]} taosd_cluster_basic:{[cluster_id] [first_ep first_ep_dnode_id cluster_version]}]
03/06 14:19:05.239240 00000229 ADP INFO  QID:0x4000000000000020 create database, sql:create database if not exists log cachemodel 'both' vgroups 1 buffer 64 keep 90 
03/06 14:19:05.249430 00000229 PRG INFO  Running in terminal.
03/06 14:19:15.074217 00000229 WEB INFO  QID:0x2000000000000100 finish request, status_code:200, latency:65.4453ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/06 14:19:30.013280 00000229 WEB INFO  QID:0x2000000000000200 finish request, status_code:200, latency:9.4033ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/06 14:19:30.747978 00000229 WEB INFO  QID:0x100000000005200 finish request, status_code:200, latency:9.7809ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
03/06 14:19:30.834287 00000229 WEB INFO  QID:0x100000000005100 finish request, status_code:200, latency:96.0106ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/06 14:19:35.241157 00000229 WEB INFO  QID:0x100000000006d00 finish request, status_code:200, latency:35.7421ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/06 14:19:45.025647 00000229 WEB INFO  QID:0x2000000000000300 finish request, status_code:200, latency:20.6916ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/06 14:20:00.007295 00000229 WEB INFO  QID:0x2000000000000400 finish request, status_code:200, latency:5.0284ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/06 14:20:00.771483 00000229 WEB INFO  QID:0x100000000008e00 finish request, status_code:200, latency:7.0635ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
03/06 14:20:00.771892 00000229 WEB INFO  QID:0x100000000008d00 finish request, status_code:200, latency:7.4622ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/06 14:20:06.204532 00000229 WEB INFO  QID:0x100000000009600 finish request, status_code:200, latency:2.2706ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/06 14:20:15.011627 00000229 WEB INFO  QID:0x2000000000000500 finish request, status_code:200, latency:8.5067ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/06 14:20:30.025953 00000229 WEB INFO  QID:0x2000000000000600 finish request, status_code:200, latency:20.7605ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/06 14:20:30.795032 00000229 WEB INFO  QID:0x10000000000b200 finish request, status_code:200, latency:5.7358ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
03/06 14:20:30.796740 00000229 WEB INFO  QID:0x10000000000b100 finish request, status_code:200, latency:7.382ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/06 14:20:36.206464 00000229 WEB INFO  QID:0x10000000000ba00 finish request, status_code:200, latency:3.554ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
